Who,How,Items
Platforms,Removal,256
Platforms,Filtering,248
Platforms,Marginalisation,180
Platforms,Review,175
Algorithmic systems,Filtering,138
Content moderators / BPO workforces,Filtering,132
Content moderators / BPO workforces,Review,126
Platforms,Enframing,116
Platforms,Deplatforming,107
Algorithmic systems,Review,103
Content moderators / BPO workforces,Enframing,79
Algorithmic systems,Removal,73
Content moderators / BPO workforces,Removal,72
Algorithmic systems,Marginalisation,69
Platforms,Metamoderation,60
Platforms,Correcting,57
Courts and prosecutors,Removal,55
Platforms,Monitoring,45
Regulators,Filtering,44
Regulators,Removal,44
Platforms,Labeling,43
Users,Enframing,42
Users,Filtering,39
Content moderators / BPO workforces,Marginalisation,38
Government agencies,Removal,38
Regulators,Review,38
Government agencies,Filtering,35
Users,Review,35
Algorithmic systems,Deplatforming,26
Platform oversight bodies,Review,26
Users,Metamoderation,26
Journalists,Filtering,25
Users,Removal,25
Courts and prosecutors,Enframing,24
"Schools, curricula, librarians, academia",Enframing,24
Platform oversight bodies,Metamoderation,23
Algorithmic systems,Enframing,22
Government agencies,Enframing,22
Content moderators / BPO workforces,Deplatforming,21
Courts and prosecutors,Filtering,21
Content moderators / BPO workforces,Monitoring,18
Users,Deplatforming,18
Courts and prosecutors,Deplatforming,17
Government agencies,Marginalisation,17
Regulators,Marginalisation,17
Users,Marginalisation,17
Content moderators / BPO workforces,Metamoderation,16
Algorithmic systems,Metamoderation,15
Regulators,Enframing,15
Algorithmic systems,Labeling,14
Regulators,Metamoderation,14
Users,Correcting,14
Algorithmic systems,Correcting,12
Courts and prosecutors,Marginalisation,12
Courts and prosecutors,Review,12
Government agencies,Review,12
Platform oversight bodies,Filtering,11
Platform oversight bodies,Removal,11
Regulators,Correcting,10
Algorithmic systems,Monitoring,9
Courts and prosecutors,Monitoring,9
Journalists,Enframing,9
Journalists,Review,9
Platform oversight bodies,Deplatforming,9
Content moderators / BPO workforces,Correcting,8
Government agencies,Correcting,8
Government agencies,Monitoring,8
Content moderators / BPO workforces,Labeling,6
Government agencies,Metamoderation,6
Platform oversight bodies,Marginalisation,6
Regulators,Monitoring,6
Users,Labeling,6
Courts and prosecutors,Correcting,5
Courts and prosecutors,Metamoderation,5
Government agencies,Deplatforming,5
Platform oversight bodies,Enframing,5
Regulators,Labeling,5
Journalists,Removal,4
Regulators,Deplatforming,4
"Schools, curricula, librarians, academia",Review,4
Government agencies,Labeling,3
Journalists,Correcting,3
Journalists,Metamoderation,3
"Schools, curricula, librarians, academia",Filtering,3
Courts and prosecutors,Labeling,2
Journalists,Monitoring,2
Platform oversight bodies,Correcting,2
Platform oversight bodies,Labeling,2
"Schools, curricula, librarians, academia",Labeling,2
Users,Monitoring,2
"Schools, curricula, librarians, academia",Deplatforming,1
"Schools, curricula, librarians, academia",Monitoring,1
"Schools, curricula, librarians, academia",Removal,1
